500
0 42.524,09 0,00 42.524,09 0,00 0
246 40,33 -21.727,96 6,21 -3.345,82 -2,66822411553817
247 0,69 -21.495,09 0,11 -3.288,62 3,70094712603269
248 -6,65 -21.243,11 -1,03 -3.307,47 3,70094712603269
249 4,56 -21.567,08 0,72 -3.396,36 2,86342981815496
250 4,67 -21.457,43 0,72 -3.287,69 1,77870610057781
251 0,68 -21.528,94 0,10 -3.309,94 -5,65005873653384
252 0,60 -21.462,40 0,09 -3.275,08 -3,78611729643245
253 0,20 -21.591,46 0,03 -3.321,55 -3,76447176114904
254 0,41 -21.643,65 0,06 -3.268,87 -3,76447176114904
255 0,09 -21.650,22 0,01 -3.277,68 -1,65713894927913
256 0,55 -21.650,13 0,08 -3.270,72 -1,65713894927913
257 1,16 -21.650,79 0,18 -3.261,59 -1,65713894927913
258 1,60 -21.477,41 0,24 -3.235,13 -1,65713894927913
259 0,26 -21.490,96 0,04 -3.278,13 -1,65713894927913
260 2,12 -21.560,93 0,32 -3.259,86 -2,01511182978019
261 1,59 -21.423,32 0,24 -3.210,86 -3,05431258601526
262 1,16 -21.347,51 0,18 -3.270,34 -2,86454209316168
263 1,88 -21.445,62 0,29 -3.295,95 -4,02880056123208
264 1,95 -21.329,31 0,30 -3.258,54 -4,02880056123208
265 0,79 -21.364,00 0,12 -3.274,87 -3,84879687162714
266 0,80 -21.470,12 0,12 -3.281,94 -3,65180221239909
267 2,37 -21.335,05 0,36 -3.226,07 -3,84122985396615
268 3,66 -21.070,07 0,56 -3.213,80 -3,84122985396615
269 7,28 -21.247,48 1,13 -3.292,32 -3,84122985396615
270 3,82 -21.301,56 0,58 -3.239,66 -3,67564022604153
271 0,79 -21.353,20 0,12 -3.219,59 -3,84151465457915
272 0,26 -21.365,65 0,04 -3.205,57 -2,21454864535169
273 0,04 -21.408,86 0,01 -3.192,18 -2,21454864535169
274 0,81 -21.404,08 0,12 -3.153,75 -2,21454864535169
275 0,19 -21.404,41 0,03 -3.131,70 6,37239292484117
276 0,76 -21.403,96 0,11 -3.110,06 6,37239292484117
277 0,86 -21.404,45 0,12 -3.117,23 67,6768633768203
278 1,05 -21.405,44 0,15 -3.092,66 54,0389974893956
279 0,65 -21.114,73 0,09 -3.039,28 54,0389974893956
280 0,36 -21.160,21 0,05 -3.096,11 54,0389974893956
281 0,02 -21.177,04 0,00 -3.085,69 54,0389974893956
282 0,38 -21.227,19 0,06 -3.099,91 54,0389974893956
283 0,06 -21.279,48 0,01 -3.093,41 54,0389974893956
284 1,04 -21.302,23 0,15 -3.081,54 54,7908841053606
285 0,65 -21.333,54 0,09 -3.078,19 54,7908841053606
286 4,32 -20.971,91 0,62 -3.023,51 54,7908841053606
287 2,53 -20.975,06 0,38 -3.139,48 -35,8898867377175
288 28,99 -21.134,18 4,34 -3.164,90 -35,1105256664721
289 0,14 -20.990,98 0,02 -3.125,14 -35,2375475974512
290 7,26 -20.955,93 1,10 -3.164,12 -2,46336144258128
291 16,29 -20.860,51 2,46 -3.147,89 -2,46336144258128
292 2,43 -21.071,48 0,37 -3.207,78 -1,89368857722915
293 7,98 -21.005,41 1,19 -3.143,88 -1,89368857722915
294 1,67 -20.958,04 0,25 -3.155,97 -1,89368857722915
295 36,21 -20.325,00 5,47 -3.069,65 -1,89368857722915
296 43,00 -20.018,49 6,83 -3.180,12 -1,72254844117171
297 16,41 -20.058,25 2,65 -3.233,39 -1,72254844117171
298 2,19 -20.491,93 0,35 -3.248,30 -0,551135519294974
299 3,43 -20.504,62 0,52 -3.106,20 -0,551135519294974
300 11,26 -20.370,10 1,72 -3.110,87 -0,551135519294974
301 13,50 -20.045,46 2,07 -3.078,59 0,371824633686485
302 14,71 -19.721,56 2,32 -3.110,31 0,547996671506404
303 61,62 -20.343,80 9,99 -3.297,44 0,620950323664268
304 54,18 -20.125,46 8,27 -3.070,72 -0,249067050313167
305 45,38 -20.031,50 7,09 -3.129,75 -0,249067050313167
306 81,02 -20.354,97 12,77 -3.208,69 -0,050026188195058
307 71,39 -20.151,27 10,97 -3.096,87 -0,050026188195058
308 0,49 -20.464,02 0,08 -3.221,37 -0,050026188195058
309 -2,14 -20.071,35 -0,33 -3.065,19 -0,050026188195058
310 30,82 -20.441,34 4,87 -3.232,71 -0,45135621375965
311 -0,26 -20.440,63 -0,04 -3.139,92 -1,41779418536913
312 7,25 -20.499,65 1,11 -3.137,69 -1,41779418536913
313 3,46 -20.474,57 0,53 -3.113,99 18,4572186258443
314 0,68 -20.312,72 0,10 -3.092,50 18,4572186258443
315 8,33 -20.395,51 1,28 -3.123,49 18,4572186258443
316 2,78 -20.549,87 0,42 -3.140,88 18,4572186258443
317 1,44 -20.435,38 0,22 -3.072,44 18,7019012878772
318 0,82 -20.487,50 0,12 -3.110,22 18,7019012878772
319 1,11 -20.460,98 0,17 -3.088,86 18,6969824010527
320 0,14 -20.403,87 0,02 -3.082,22 18,6969824010527
321 0,74 -20.433,91 0,11 -3.109,28 18,6969824010527
322 1,42 -20.495,27 0,21 -3.101,55 18,6969824010527
323 12,95 -20.248,58 1,95 -3.055,53 18,6969824010527
324 5,32 -20.151,59 0,82 -3.109,19 18,8958895499842
325 1,46 -20.144,83 0,22 -3.072,10 18,8958895499842
326 0,28 -20.156,01 0,04 -3.067,96 18,8958895499842
327 0,67 -20.106,39 0,10 -3.063,13 18,6031701462797
328 5,25 -20.099,97 0,80 -3.080,98 18,6031701462797
329 6,36 -20.052,75 0,98 -3.076,69 18,3683067782465
330 1,27 -20.255,20 0,20 -3.123,36 18,3683067782465
331 -0,14 -20.258,11 -0,02 -3.072,26 18,3683067782465
332 1,60 -20.140,88 0,24 -3.052,71 18,3683067782465
333 0,94 -20.198,82 0,14 -3.090,28 -15,8252495052284
334 0,39 -20.293,46 0,06 -3.085,61 -15,8252495052284
335 0,38 -20.294,52 0,06 -3.061,76 -15,8252495052284
336 0,58 -20.295,71 0,09 -3.061,67 -15,8252495052284
337 0,06 -20.276,24 0,01 -3.056,85 -15,8252495052284
338 0,79 -20.307,90 0,12 -3.066,91 -15,8252495052284
339 0,41 -20.275,55 0,06 -3.053,95 -15,8252495052284
340 0,53 -20.291,06 0,08 -3.063,22 -15,8252495052284
341 1,52 -20.288,02 0,23 -3.058,98 -1,98912640284216
342 0,76 -20.305,56 0,11 -3.062,43 -1,98912640284216
343 0,21 -20.285,01 0,03 -3.054,28 -1,98912640284216
344 0,84 -20.281,61 0,13 -3.058,35 -1,98912640284216
345 0,66 -20.281,81 0,10 -3.058,44 -1,98912640284216
346 0,56 -20.282,64 0,08 -3.058,16 -1,63828360082845
347 0,43 -20.300,95 0,06 -3.059,74 -1,63828360082845
348 0,70 -20.299,45 0,11 -3.054,56 -1,63828360082845
349 0,75 -20.297,19 0,11 -3.055,80 -1,63828360082845
350 0,80 -20.294,92 0,12 -3.053,50 -1,63828360082845
351 1,10 -20.296,41 0,17 -3.056,28 2,50668360962713
352 1,10 -20.296,41 0,17 -3.054,90 2,50668360962713
353 1,10 -20.296,41 0,17 -3.054,37 -1,36401627211906
354 1,10 -20.296,41 0,17 -3.053,34 -1,36401627211906
355 1,10 -20.296,41 0,17 -3.053,05 -1,53502807510173
356 1,10 -20.296,41 0,17 -3.051,76 -1,12650572792704
357 1,10 -20.296,41 0,17 -3.051,21 -1,12650572792704
358 1,10 -20.296,41 0,17 -3.052,59 -1,12650572792704
359 1,10 -20.296,41 0,17 -3.051,65 -1,12650572792704
360 0,32 -20.283,44 0,05 -3.050,09 -1,12650572792704
361 0,40 -20.259,45 0,06 -3.050,97 -2,13455667144221
362 0,95 -20.216,04 0,14 -3.049,19 -2,13455667144221
363 1,23 -20.223,78 0,19 -3.060,81 -2,73531823130519
364 1,13 -20.269,64 0,17 -3.063,10 -2,73531823130519
365 0,31 -20.245,05 0,05 -3.044,54 -2,73531823130519
366 1,82 -20.243,54 0,28 -3.052,72 -2,5283114232855
367 0,60 -20.219,93 0,09 -3.047,89 -2,30985781230264
368 0,90 -20.194,81 0,14 -3.050,07 -2,2813437307549
369 0,12 -20.239,82 0,02 -3.062,22 -2,2813437307549
370 0,08 -20.253,21 0,01 -3.052,90 -2,2813437307549
371 -0,22 -20.240,63 -0,03 -3.047,50 -2,2813437307549
372 0,03 -20.207,73 0,00 -3.044,98 -2,28389583288418
373 1,94 -20.231,64 0,29 -3.057,90 -2,28389583288418
374 1,72 -20.224,31 0,26 -3.050,42 3,26510096254115
375 0,27 -20.248,21 0,04 -3.056,12 3,26510096254115
376 0,37 -20.249,76 0,06 -3.050,27 1,81320255001787
377 -1,65 -20.222,07 -0,25 -3.045,28 1,81320255001787
378 0,76 -20.240,13 0,11 -3.055,47 1,81320255001787
379 0,50 -20.252,18 0,08 -3.052,58 1,81320255001787
380 0,38 -20.255,42 0,06 -3.049,41 1,81320255001787
381 0,57 -20.256,41 0,09 -3.048,99 5,69235512041434
382 0,57 -20.256,41 0,09 -3.048,31 5,69235512041434
383 0,61 -20.256,59 0,09 -3.048,36 5,69235512041434
384 0,61 -20.256,59 0,09 -3.048,03 5,80257030175421
385 0,64 -20.256,77 0,10 -3.048,24 5,80257030175421
386 0,64 -20.256,77 0,10 -3.048,55 5,80257030175421
387 0,64 -20.256,77 0,10 -3.048,99 5,80257030175421
388 0,64 -20.256,77 0,10 -3.048,97 5,80257030175421
389 0,64 -20.256,77 0,10 -3.049,03 5,80257030175421
390 0,64 -20.256,77 0,10 -3.048,95 5,80257030175421
391 0,64 -20.256,77 0,10 -3.048,98 5,80257030175421
392 0,64 -20.256,77 0,10 -3.049,03 5,63577514715129
393 0,64 -20.256,77 0,10 -3.048,90 5,63577514715129
394 0,67 -20.255,44 0,10 -3.048,74 2,89611776026432
395 0,07 -20.255,04 0,01 -3.049,11 2,7351529188332
396 0,26 -20.256,18 0,04 -3.049,39 2,7351529188332
397 0,38 -20.255,70 0,06 -3.049,04 2,7351529188332
398 0,02 -20.256,69 0,00 -3.049,29 2,7351529188332
399 0,04 -20.255,68 0,01 -3.048,86 2,7351529188332
400 0,16 -20.255,43 0,02 -3.049,15 2,7351529188332
401 0,31 -20.256,08 0,05 -3.049,27 2,7351529188332
402 0,44 -20.255,38 0,07 -3.048,96 2,7351529188332
403 0,08 -20.256,75 0,01 -3.049,38 2,7351529188332
404 0,23 -20.256,07 0,04 -3.048,92 2,7351529188332
405 0,37 -20.256,07 0,06 -3.049,12 2,7351529188332
406 0,44 -20.254,88 0,07 -3.048,65 -5,1846104046887
407 0,51 -20.254,20 0,08 -3.048,73 -5,1846104046887
408 0,03 -20.254,06 0,00 -3.049,21 -5,1846104046887
409 0,24 -20.253,47 0,04 -3.049,00 -5,1846104046887
410 0,37 -20.252,45 0,06 -3.048,84 -5,1846104046887
411 0,05 -20.252,60 0,01 -3.049,14 -5,1846104046887
412 0,24 -20.252,13 0,04 -3.049,23 -5,1846104046887
413 0,48 -20.251,86 0,07 -3.049,02 -5,1846104046887
414 0,12 -20.251,40 0,02 -3.048,93 -5,1846104046887
415 0,38 -20.250,63 0,06 -3.048,76 -5,1846104046887
416 0,43 -20.249,50 0,06 -3.048,70 -5,1846104046887
417 0,49 -20.247,91 0,07 -3.048,49 -5,1846104046887
418 0,22 -20.248,18 0,03 -3.048,92 0,514383930757504
419 0,26 -20.248,77 0,04 -3.048,99 -1,57678885406453
420 0,30 -20.247,65 0,05 -3.048,53 -1,57678885406453
421 0,32 -20.248,30 0,05 -3.048,85 4,90010586950521
422 0,37 -20.249,08 0,06 -3.048,76 4,90010586950521
423 0,40 -20.249,21 0,06 -3.048,78 4,90010586950521
424 0,43 -20.249,35 0,06 -3.048,96 4,90010586950521
