500
374 0,06 33.691,96 0,06 32.893,21 9,01187614179648
375 -0,54 33.698,73 -0,53 32.900,88 12,3342151321745
376 0,10 33.693,79 0,10 32.899,39 14,3861421461014
377 0,07 33.692,05 0,07 32.890,65 14,3861421461014
378 0,08 33.691,80 0,08 32.894,15 14,3861421461014
379 0,09 33.691,78 0,09 32.893,36 14,3861421461014
380 0,01 33.694,93 0,01 32.890,41 11,4303527079498
381 0,05 33.694,15 0,05 32.893,81 15,7300038993478
382 0,05 33.692,55 0,05 32.887,07 20,6756349329849
383 0,05 33.692,55 0,05 32.886,51 20,6756349329849
384 -0,32 33.697,83 -0,31 32.888,61 20,554878625333
385 -0,10 33.696,14 -0,10 32.891,54 20,554878625333
386 -0,15 33.698,30 -0,15 32.896,60 17,5596835667862
387 -0,31 33.701,42 -0,30 32.905,42 -12,9146818334584
388 -0,06 33.702,62 -0,06 32.907,92 -1,42425750916032
389 0,06 33.697,45 0,05 32.903,94 -1,42425750916032
390 0,20 33.697,61 0,20 32.900,54 -1,99505356939615
391 -0,01 33.700,36 -0,01 32.903,42 -1,99505356939615
392 0,03 33.704,38 0,03 32.908,59 -1,99505356939615
393 -0,02 33.708,99 -0,02 32.913,08 2,68883468268079
394 -0,09 33.712,11 -0,09 32.918,35 2,68883468268079
395 0,06 33.714,09 0,06 32.922,81 -2,65186540034968
396 0,05 33.718,61 0,05 32.927,73 -3,30538850070481
397 0,04 33.718,15 0,04 32.929,00 -1,74335473885261
398 0,03 33.718,19 0,03 32.927,90 -4,29621396047865
399 0,05 33.719,96 0,05 32.929,29 -3,89300804623185
400 0,16 33.720,61 0,15 32.931,26 -5,03534906053635
401 0,10 33.721,03 0,10 32.930,99 -1,27066676239774
402 0,11 33.722,58 0,11 32.932,21 -2,27486837683473
403 0,02 33.722,08 0,02 32.932,27 -2,27486837683473
404 -0,01 33.722,69 -0,01 32.932,29 -2,27486837683473
405 0,02 33.720,67 0,02 32.930,43 -2,27486837683473
406 0,00 33.720,77 0,00 32.926,24 -2,27486837683473
407 0,02 33.723,55 0,02 32.928,10 -2,27486837683473
408 0,07 33.724,29 0,07 32.933,48 -2,27486837683473
409 0,00 33.723,80 0,00 32.931,73 19,4232364296335
410 0,00 33.724,73 0,00 32.931,14 25,691498703827
411 0,04 33.726,15 0,04 32.933,51 19,9106954169018
412 0,01 33.726,70 0,01 32.937,11 19,9106954169018
413 0,02 33.726,24 0,02 32.934,19 19,9106954169018
414 0,05 33.726,76 0,05 32.933,99 19,9106954169018
415 0,04 33.725,65 0,04 32.931,57 22,9585062451106
416 0,07 33.725,48 0,06 32.930,13 22,9585062451106
417 0,06 33.725,34 0,06 32.927,21 26,372792834595
418 0,07 33.725,32 0,07 32.927,30 26,372792834595
419 0,07 33.725,32 0,07 32.928,19 26,372792834595
420 0,07 33.725,32 0,07 32.926,63 -6,26238858781537
421 0,07 33.725,32 0,07 32.926,27 -6,26238858781537
422 0,07 33.725,32 0,07 32.925,75 -6,26238858781537
423 0,07 33.725,32 0,07 32.927,90 -8,84822815112777
424 0,07 33.725,32 0,07 32.930,08 -0,383141997473808
425 0,04 33.725,62 0,04 32.932,17 -0,383141997473808
426 0,06 33.725,65 0,05 32.934,84 -0,383141997473808
427 0,04 33.725,35 0,04 32.931,14 -0,383141997473808
428 0,06 33.725,66 0,06 32.932,50 -0,383141997473808
429 0,07 33.725,35 0,07 32.932,69 -0,383141997473808
430 0,04 33.725,60 0,04 32.933,12 -5,85109317495484
431 0,03 33.725,42 0,03 32.932,65 -5,85109317495484
432 0,02 33.726,11 0,02 32.933,96 -5,85109317495484
433 0,01 33.725,69 0,01 32.933,64 -5,85109317495484
434 0,05 33.725,34 0,05 32.931,59 -1,81166092583127
435 -0,04 33.726,40 -0,04 32.931,07 -5,87760621207107
436 0,04 33.725,74 0,04 32.934,39 3,42620262329063
437 0,00 33.726,66 0,00 32.933,22 4,79041858618366
