500
0 25.567,17 0,00 25.567,17 0,00 0
319 0,46 43.060,32 0,42 38.718,76 25,1600193546383
320 0,84 42.983,79 0,76 38.610,57 25,1600193546383
321 0,14 43.052,72 0,13 38.714,87 30,5598110204511
322 5,89 43.182,95 5,29 38.782,89 36,8925707954049
323 0,08 43.445,31 0,07 39.177,77 -39,6540453372858
324 -0,31 43.291,20 -0,28 39.187,36 -11,8970782214856
325 -0,41 43.318,33 -0,37 38.966,99 -13,5920905264745
326 3,93 43.353,55 3,52 38.909,28 -13,5920905264745
327 8,87 43.380,64 7,98 39.012,16 -12,5376832746628
328 12,11 43.456,12 10,91 39.162,67 -12,3572738206266
329 0,04 43.488,39 0,03 39.202,11 -11,2096002284821
330 4,58 43.516,56 4,14 39.278,13 -10,4421793168219
331 0,02 43.401,35 0,02 39.178,53 -10,4421793168219
332 0,02 43.402,01 0,02 39.099,14 -10,4421793168219
333 0,16 43.404,50 0,14 39.104,60 -10,639961027719
334 0,08 43.436,35 0,07 39.152,71 -10,639961027719
335 0,43 43.391,52 0,39 39.135,28 -10,9050475551234
336 0,05 43.401,16 0,05 39.113,27 -10,9050475551234
337 0,16 43.406,21 0,14 39.104,14 -10,9050475551234
338 0,01 43.390,37 0,01 39.112,00 27,0984868142124
339 0,23 43.415,98 0,21 39.124,48 27,2975498711212
340 0,02 43.420,95 0,02 39.129,06 27,2975498711212
341 -0,09 43.406,75 -0,08 39.119,70 27,2975498711212
342 0,12 43.403,38 0,11 39.106,60 27,2975498711212
343 0,06 43.420,50 0,05 39.112,44 27,2975498711212
344 0,30 43.408,58 0,27 39.110,48 41,6037582155791
345 0,14 43.395,47 0,12 39.085,22 40,6359793773834
346 0,14 43.395,47 0,12 39.072,64 44,1895597552178
347 0,01 43.395,29 0,01 39.065,57 44,1895597552178
348 0,01 43.395,27 0,01 39.062,27 44,1895597552178
349 0,06 43.407,22 0,05 39.089,12 44,1895597552178
350 0,14 43.402,68 0,12 39.060,68 44,1895597552178
351 0,01 43.400,18 0,01 39.080,68 44,1895597552178
352 0,01 43.397,26 0,01 39.063,57 45,485157210031
353 0,00 43.395,32 0,00 39.053,07 45,485157210031
354 0,00 43.395,32 0,00 39.038,63 45,485157210031
355 0,00 43.395,32 0,00 39.034,86 45,7565429457402
356 0,00 43.395,32 0,00 39.018,39 45,32271019863
357 0,05 43.409,67 0,05 39.024,27 45,32271019863
358 0,23 43.398,51 0,20 39.041,61 45,32271019863
359 0,01 43.395,42 0,01 39.019,21 45,32271019863
360 0,01 43.395,42 0,01 39.022,15 45,32271019863
361 0,02 43.395,31 0,01 39.037,21 -13,6693524433951
362 -0,09 43.400,02 -0,08 39.024,53 -13,8943224919309
363 -0,12 43.413,62 -0,11 39.055,26 11,7172326342303
364 0,31 43.397,65 0,28 39.054,06 11,9508729977042
365 0,05 43.408,25 0,05 39.023,36 14,7983383650382
366 0,01 43.403,48 0,01 39.054,64 12,4676310132575
367 0,14 43.407,70 0,12 39.034,59 5,94038102964847
368 0,04 43.400,77 0,04 39.051,63 5,94038102964847
369 0,13 43.406,15 0,12 39.050,58 5,94038102964847
370 0,14 43.406,93 0,13 39.056,69 5,94038102964847
371 0,08 43.401,10 0,07 39.051,19 10,2293412813638
372 0,26 43.400,43 0,24 39.037,03 10,2293412813638
373 0,10 43.396,23 0,09 39.045,05 10,2293412813638
374 0,10 43.403,81 0,09 39.045,72 10,2293412813638
375 0,10 43.407,32 0,09 39.057,06 10,2293412813638
376 0,13 43.396,53 0,12 39.049,75 10,3125510086706
377 0,01 43.395,94 0,01 39.036,41 10,3125510086706
378 0,01 43.395,94 0,01 39.041,46 10,3125510086706
379 -0,33 43.407,24 -0,30 39.050,86 10,3125510086706
380 0,19 43.401,20 0,17 39.045,98 10,3125510086706
381 0,08 43.398,67 0,07 39.042,87 8,37267072410293
382 0,11 43.396,34 0,10 39.033,67 8,37267072410293
383 0,12 43.396,21 0,11 39.032,24 9,86044003613075
384 0,12 43.396,18 0,11 39.028,49 9,86044003613075
385 0,13 43.396,12 0,12 39.030,76 9,86044003613075
386 0,00 43.395,95 0,00 39.035,06 9,28952061524998
387 0,00 43.395,95 0,00 39.040,54 9,55932549202852
388 -0,22 43.403,33 -0,20 39.046,93 9,64087545552248
389 0,04 43.406,93 0,04 39.055,97 9,64087545552248
390 0,13 43.406,00 0,12 39.056,61 9,64087545552248
391 0,01 43.401,98 0,01 39.052,49 9,64087545552248
392 -0,04 43.407,77 -0,03 39.055,32 13,3452389660089
393 0,25 43.397,93 0,23 39.048,80 -5,95142892590466
394 0,17 43.397,01 0,15 39.041,75 3,74485508284051
