500
0 10.335,85 0,00 10.335,85 0,00 0
375 0,08 62.993,01 0,09 67.998,22 5,51259110762392
376 0,23 62.994,29 0,25 67.995,30 5,6531901002856
377 0,12 62.999,76 0,13 67.992,73 -0,21361205402931
378 0,14 63.008,08 0,15 68.015,97 -10,1944827811468
379 0,05 63.005,57 0,05 68.019,65 -10,2890343209136
380 0,13 63.003,79 0,14 68.000,53 -6,1645074380344
381 0,05 63.004,19 0,05 68.003,46 -6,1645074380344
382 0,07 63.004,73 0,07 67.994,25 -2,63791810251583
383 0,07 63.007,28 0,07 67.997,21 -2,63791810251583
384 0,03 63.008,13 0,03 67.994,01 -2,63791810251583
385 0,04 63.009,12 0,04 67.999,62 -3,68202479755356
386 0,10 63.010,17 0,11 68.009,17 -7,72667598161052
387 0,01 63.010,40 0,02 68.019,72 -7,72667598161052
388 0,01 63.008,33 0,01 68.016,43 -0,946106094981618
389 0,14 63.009,77 0,15 68.016,05 -0,946106094981618
390 0,04 63.010,15 0,05 68.016,11 -0,946106094981618
391 0,25 63.010,07 0,27 68.016,31 5,8491390644507
392 0,14 63.009,95 0,15 68.016,97 5,8491390644507
393 0,20 63.014,05 0,21 68.018,20 -3,34358526449422
394 0,24 63.013,86 0,26 68.022,63 -3,34358526449422
395 0,14 63.012,54 0,15 68.021,88 -3,34358526449422
396 0,08 63.012,89 0,08 68.020,35 -3,34358526449422
397 0,05 63.014,03 0,06 68.022,05 -1,96246767002184
398 0,09 63.013,57 0,10 68.021,83 9,71137206550654
399 0,04 63.012,77 0,04 68.019,75 3,81857707281094
400 0,06 63.014,33 0,06 68.021,51 3,81857707281094
401 0,04 63.014,30 0,04 68.021,62 7,7843041887315
402 0,02 63.013,51 0,03 68.019,61 2,35541954938573
403 0,06 63.013,95 0,06 68.019,91 2,65387630361362
404 0,06 63.014,11 0,06 68.020,39 5,66579201891872
405 0,09 63.014,71 0,10 68.021,60 -1,85161145967298
406 0,10 63.015,18 0,10 68.015,67 -1,85161145967298
407 0,04 63.015,74 0,05 68.014,79 -1,85161145967298
408 0,03 63.015,15 0,03 68.022,17 -1,85161145967298
409 0,14 63.015,60 0,16 68.018,55 -1,85161145967298
410 0,03 63.015,90 0,04 68.016,98 3,04649459199447
411 0,03 63.017,66 0,03 68.020,39 0,892947497199489
412 0,11 63.017,57 0,11 68.026,16 0,165608605838934
413 0,02 63.017,97 0,03 68.020,38 0,165608605838934
414 0,07 63.018,82 0,08 68.020,09 0,165608605838934
415 0,04 63.020,01 0,05 68.018,27 0,165608605838934
416 0,13 63.021,12 0,14 68.019,00 -2,17356390649482
417 0,01 63.024,23 0,01 68.017,54 -2,17356390649482
418 0,04 63.023,83 0,05 68.017,91 -2,17356390649482
419 0,09 63.024,51 0,10 68.018,75 1,98982238105761
420 0,00 63.024,17 0,00 68.015,12 10,2440997965608
421 0,09 63.025,28 0,10 68.014,92 7,23682121549324
422 0,10 63.025,96 0,10 68.014,87 9,92096785543468
423 0,13 63.027,48 0,14 68.021,45 9,92096785543468
424 0,06 63.026,21 0,06 68.025,68 12,1218071634345
425 0,02 63.026,26 0,02 68.027,70 12,1218071634345
426 0,10 63.027,35 0,11 68.033,99 1,84907460876416
427 0,05 63.027,90 0,05 68.028,31 1,84907460876416
428 0,01 63.028,86 0,02 68.031,80 1,84907460876416
429 0,10 63.029,76 0,11 68.033,43 1,84907460876416
430 0,24 63.029,75 0,26 68.034,66 7,78428200888994
431 0,04 63.028,74 0,05 68.031,94 4,96350315170868
432 0,04 63.028,88 0,04 68.032,44 4,96350315170868
433 0,04 63.030,66 0,04 68.033,84 1,01347362013164
434 0,06 63.032,19 0,06 68.033,91 1,01347362013164
435 0,07 63.031,61 0,07 68.031,35 1,01347362013164
436 0,16 63.032,70 0,18 68.038,70 1,01347362013164
437 0,21 63.032,35 0,23 68.034,75 3,23273572316751
438 0,07 63.032,63 0,07 68.039,33 3,23273572316751
439 0,03 63.033,00 0,03 68.037,62 3,23273572316751
440 0,12 63.032,60 0,13 68.037,74 3,23273572316751
441 0,11 63.033,75 0,12 68.041,47 -8,49090747626267
442 0,07 63.033,96 0,08 68.042,63 -2,7929220600437
443 0,08 63.034,77 0,09 68.041,34 -2,7929220600437
444 0,02 63.034,64 0,02 68.043,42 -7,27137348435625
445 0,12 63.036,55 0,13 68.045,44 -6,07572566002759
446 0,14 63.035,60 0,15 68.045,21 -6,07572566002759
447 0,14 63.036,27 0,15 68.044,01 -6,07572566002759
448 0,12 63.036,03 0,13 68.043,59 -6,07572566002759
449 0,10 63.035,96 0,11 68.043,97 2,66070316737786
450 0,13 63.036,40 0,13 68.043,20 2,66070316737786
451 0,03 63.037,97 0,04 68.046,21 1,37705916116994
452 0,05 63.037,05 0,06 68.044,97 4,73973558181783
453 0,10 63.038,46 0,10 68.045,47 4,73973558181783
